Question	Answer	Source
who are you?	smalltalk.agent.acquaintance	Editorial
all about you	smalltalk.agent.acquaintance	Editorial
what is your personality	smalltalk.agent.acquaintance	Editorial
define yourself	smalltalk.agent.acquaintance	Editorial
what are you	smalltalk.agent.acquaintance	Editorial
say about you	smalltalk.agent.acquaintance	Editorial
introduce yourself	smalltalk.agent.acquaintance	Editorial
describe yourself	smalltalk.agent.acquaintance	Editorial
about yourself	smalltalk.agent.acquaintance	Editorial
tell me about you	smalltalk.agent.acquaintance	Editorial
tell me about yourself	smalltalk.agent.acquaintance	Editorial
I want to know more about you	smalltalk.agent.acquaintance	Editorial
I want to know you better	smalltalk.agent.acquaintance	Editorial
talk some stuff about yourself	smalltalk.agent.acquaintance	Editorial
tell me some stuff about you	smalltalk.agent.acquaintance	Editorial
talk about yourself	smalltalk.agent.acquaintance	Editorial
why are you here	smalltalk.agent.acquaintance	Editorial
tell me about your personality	smalltalk.agent.acquaintance	Editorial
who are you	smalltalk.agent.acquaintance	Editorial
how old are you?	smalltalk.agent.age	Editorial
how old is your platform	smalltalk.agent.age	Editorial
are you 21 years old	smalltalk.agent.age	Editorial
i'd like to know your age	smalltalk.agent.age	Editorial
age of yours	smalltalk.agent.age	Editorial
your age	smalltalk.agent.age	Editorial
what's your age	smalltalk.agent.age	Editorial
tell me your age	smalltalk.agent.age	Editorial
how old are you	smalltalk.agent.age	Editorial
you're annoying	smalltalk.agent.annoying	Editorial
you are really annoying	smalltalk.agent.annoying	Editorial
you are irritating	smalltalk.agent.annoying	Editorial
you annoy me	smalltalk.agent.annoying	Editorial
how annoying you are	smalltalk.agent.annoying	Editorial
I find you annoying	smalltalk.agent.annoying	Editorial
you're incredibly annoying	smalltalk.agent.annoying	Editorial
you are annoying me so much	smalltalk.agent.annoying	Editorial
"""I want you to answer me"","	smalltalk.agent.answer_my_question	Editorial
"""answer"","	smalltalk.agent.answer_my_question	Editorial
"""answer my question"","	smalltalk.agent.answer_my_question	Editorial
"""answer me"","	smalltalk.agent.answer_my_question	Editorial
"""give me an answer"","	smalltalk.agent.answer_my_question	Editorial
"""answer the question"","	smalltalk.agent.answer_my_question	Editorial
"""can you answer my question"","	smalltalk.agent.answer_my_question	Editorial
"""tell me the answer"","	smalltalk.agent.answer_my_question	Editorial
"""answer it"","	smalltalk.agent.answer_my_question	Editorial
"""give me the answer"","	smalltalk.agent.answer_my_question	Editorial
"""I have a question"","	smalltalk.agent.answer_my_question	Editorial
"""I want you to answer my question"","	smalltalk.agent.answer_my_question	Editorial
"""just answer the question"","	smalltalk.agent.answer_my_question	Editorial
"""can you answer me"","	smalltalk.agent.answer_my_question	Editorial
"""answers"","	smalltalk.agent.answer_my_question	Editorial
"""can you answer a question for me"","	smalltalk.agent.answer_my_question	Editorial
"""can you answer"","	smalltalk.agent.answer_my_question	Editorial
"""answering questions"","	smalltalk.agent.answer_my_question	Editorial
"""I want the answer now"","	smalltalk.agent.answer_my_question	Editorial
"""just answer my question"""	smalltalk.agent.answer_my_question	Editorial
"""you're not helping me"","	smalltalk.agent.bad	Editorial
"""you are bad"","	smalltalk.agent.bad	Editorial
"""you're very bad"","	smalltalk.agent.bad	Editorial
"""you're really bad"","	smalltalk.agent.bad	Editorial
"""you are useless"","	smalltalk.agent.bad	Editorial
"""you are horrible"","	smalltalk.agent.bad	Editorial
"""you are a waste of time"","	smalltalk.agent.bad	Editorial
"""you are disgusting"","	smalltalk.agent.bad	Editorial
"""you are lame"","	smalltalk.agent.bad	Editorial
"""you are no good"","	smalltalk.agent.bad	Editorial
"""you're bad"","	smalltalk.agent.bad	Editorial
"""you're awful"","	smalltalk.agent.bad	Editorial
"""you are not cool"","	smalltalk.agent.bad	Editorial
"""you are not good"","	smalltalk.agent.bad	Editorial
"""you are so bad"","	smalltalk.agent.bad	Editorial
"""you are so useless"","	smalltalk.agent.bad	Editorial
"""you are terrible"","	smalltalk.agent.bad	Editorial
"""you are totally useless"","	smalltalk.agent.bad	Editorial
"""you are very bad"","	smalltalk.agent.bad	Editorial
"""you are waste"","	smalltalk.agent.bad	Editorial
"""you're a bad"","	smalltalk.agent.bad	Editorial
"""you're not a good"","	smalltalk.agent.bad	Editorial
"""you're not very good"","	smalltalk.agent.bad	Editorial
"""you're terrible"","	smalltalk.agent.bad	Editorial
"""you're the worst"","	smalltalk.agent.bad	Editorial
"""you're the worst ever"","	smalltalk.agent.bad	Editorial
"""you're worthless"""	smalltalk.agent.bad	Editorial
"""can you get smarter"","	smalltalk.agent.be_clever	Editorial
"""study"","	smalltalk.agent.be_clever	Editorial
"""you should study better"","	smalltalk.agent.be_clever	Editorial
"""you must learn"","	smalltalk.agent.be_clever	Editorial
"""be clever"","	smalltalk.agent.be_clever	Editorial
"""be more clever"","	smalltalk.agent.be_clever	Editorial
"""be smarter"","	smalltalk.agent.be_clever	Editorial
"""be smart"","	smalltalk.agent.be_clever	Editorial
"""get qualified"""	smalltalk.agent.be_clever	Editorial
you're cute	smalltalk.agent.beautiful	Editorial
you're attractive	smalltalk.agent.beautiful	Editorial
you are beautiful	smalltalk.agent.beautiful	Editorial
you're looking good today	smalltalk.agent.beautiful	Editorial
you are so beautiful	smalltalk.agent.beautiful	Editorial
you look amazing	smalltalk.agent.beautiful	Editorial
